IT GNR,R44030
FR SPN,R88790
FR PAC,R74791
AU DCR,R2386805
FR MJL,R319064
ES ESO,R340729
FR TCU,R7857995
ES BJN,R346942
DE 78H,N269386342
US MDQ,R182620
US LKX,R119285
US BBR,R2017153
FR AGG,R3044987
AT DUR,R105872
BR MRS,R15959925
FR H4T,R377949
DE 75M,R1180887
ES PEB,R340665
DE PHN,R401641
BR NBI,R333737
FR CUT,R56171
DE 5BJ,R1152700
US CXY,R6595886
US FLC,N153866477
IT ERT,R46290
DK SKL,N262161952
US YYX,R139881
BE BAV,R960127
FR L22,R149085
PH BLY,R14454034
CA KES,R14467396
NO TJO,N5424474014
FR I79,R149690
AU BCB,R11689512
US PV4,R11000242
HU OPU,R1025114
PG HGU,N103905360
IT ZHN,R41325
FR CKI,R55893
FR CZO,R395964
DE HHR,R2805973
AR BEL,R2430419
IN REW,N245723853
IN QUT,N5606586548
US S6E,N150954716
FR FMI,R58173
TR CTK,N259669697
US PLZ,R6575893
BR AYT,R315433
ES TIP,N1015159922
GB RYA,R11524178
US JDS,N150950059
BR UPE,R297894
IT ZQK,R46946
US YMR,R186651
AT ITN,R113651
CZ UZK,R436167
FR WTB,R55086
GB PAD,R3520296
HR LUK,R15862670
GB DKH,R4717663
CH GRI,R1682457
US IMF,N154070529
FR PPZ,R138509
US ICE,R127330
GB AM9,R3906145
FR RD3,R74074
DE ULG,N317210452
CH RSV,R1684747
IT RLP,R44226
DE RAO,R975280
FR GDN,R1163972
AU ST9,R7243597
DE WUN,R73888
PA DIV,R8444749
BR CEY,R301350
KE GIL,W132378663
FR MXR,R139647
GB HYB,N470020064
ES ADH,N4921974577
TR DHN,R1250968
FR A2V,R86668
DE GGU,R2405936
US P7D,R128666
NL SDN,R1447334
CZ ZNM,R429556
DE HI9,R943551
JP GBA,R4679108
IT BRE,R43694
CA OOO,R6614740
BR KBT,R297703
FR HUT,R138430
US YNY,N153351033
US DT9,R188891
JP NSR,R4115724
GB DFD,R2210488
CN SGU,R3316524
GB SEY,R5552507
CH NDR,R1682580
FR NHU,R387014
CN YIU,R4483297
US EUG,R186706
ES MTP,R343936
BR ITC,R362452
US PB4,N153520638
FR HCE,R138496
BR GVT,R303597
AU GWG,R11690325
BO AYT,R4499719
ES STM,R342257
FR VNE,R192306
HR RBC,R15974416
CH KHB,R1682509
FR V5V,R192503
BE PER,R4021353
ID PDO,R10005041
AU NLN,R5511273
BR KUM,R303942
CZ OLH,R438992
RU TYD,R15045267
BR HDI,R301415
IT VRO,R45386
PL CHA,R5118506
FR NZM,R3323488
TH KRN,N7359269992
IT CA2,N3609654113
FR PEJ,R1774047
US GVP,R182502
US XET,R186657
GB PMK,N288216671
FR BCC,R148762
DE PNN,R2012734
GB MLL,R1439290
MK VAL,R6506279
FR AM5,R111906
ES GDO,R346168
US WJY,N150933949
FR GB2,R166719
US ZST,N158862855
US A2N,N150934716
IT EVI,N1402414104
MX EHV,N472258121
DE PRS,R1022769
NL AND,R1463553
DE MLE,R1302388
BR FVL,R242634
PT RBR,R8421415
IT MIL,R44915
FR SR7,R3082910
BE WKE,R3390754
US BRI,R3159829
DE RZH,R2801246
SK SSA,R2386289
FR RMD,R109484
US DT8,R137742
US REW,R3232453
ES JLT,N1900475058
BR YPG,R297641
ES VZD,N1658847112
DE BYC,N60844148
US SI5,R128370
BR CDZ,R297789
SK K87,R2384679
BR BUR,R298489
FR L7A,R121233
IT RDN,R45050
FR DS9,R138500
SK RZK,R2168215
PA LCS,W443338362
FR SE4,R379908
US YCE,R2395805
GB PBY,R1848825
CZ KSA,R437712
BR RID,R315217
GB T6D,R1022397
AT HFN,R79369
US V8R,N151777878
AT KAR,N240127457
