IT OGD,R45225
AU HRY,N3800569609
FR ATH,R121750
AT SMU,R3865114
GR NSN,N304699282
BR SNT,R185551
AF ZAJ,N312466967
GB IVR,N26241742
FR LNP,R73962
DE NH3,R959920
FR XOU,R525558
US PIM,R119701
MX XEM,N459392302
GR RIO,N95758872
FR RDC,R144816
US UVN,R137230
US EL9,R2019527
RU VOS,R1657462
US KIY,R121353
FR 5EN,R124195
US NBT,R135045
US UWB,R175541
NO KPG,N497910067
SK SLA,R2210558
CL TEO,R1767428
IE BYT,N52251417
CI GGO,R10757680
FR 29L,R380850
FR SYM,R76374
DE SYT,R1141531
US SRD,R13608803
KR MYG,R7224486
DE SC8,R3988962
IT BZU,R6746787
FR MA6,R2548784
GB CUT,N693129368
BR AHO,R332774
LU LD8,N1569147752
NZ ALR,N174903102
IN BHM,N245642396
CA NWM,R2407406
FR GNI,R153657
US CYP,R188624
FR OIA,R2844626
US RUS,R111594
IT ZTU,R42376
CH 7AU,R1684446
CH NTT,R1682210
BR GHS,R242720
US ECJ,N153918277
US WXU,R124876
FR AQU,R102563
US KYO,R7696490
RU DIN,W36872757
US YBJ,R128403
AT MTB,N240098843
FR SUK,R1246320
FR AMW,R83344
IT BTS,R44637
US PYR,R8013597
DE DZE,N364332363
BR RPZ,R332859
IN JGA,R14935396
US FSL,R136806
US TVQ,R198712
US HQA,R13578588
FR SZU,R161892
DE RBG,R225483
DE SOZ,R449917
FR RFI,R156613
DE EKU,R1571761
LU BTB,N266325569
DK SOL,N1749628534
FR SKZ,R112874
US MHL,R140858
FR EOV,R74244
MZ CHI,N3333572975
HU CDP,R1026171
PG MXH,N9535213873
CR PAL,N1398300563
PK SDR,N2517404564
GY KKG,N7627181748
BE AVE,N686681347
DE REX,R1231964
PG OLQ,N7501554640
GB PNE,N29170535
UA MIR,R3945127
CH AUU,N3444675849
IT FGZ,R44544
DZ KHM,R2658815
DE GRP,R2016907
JP HET,N8347693947
NL TRI,R158303
CA WVY,R9110164
PT VLP,R4197882
GB CHJ,R5669965
FR V5E,R358345
CL PYH,R1795049
EE RVA,R7819151
NL LGK,R1447332
AT 6TA,N240059593
AU CFI,N3441462632
FR ABB,R114349
SI SBR,N2911803263
US SYL,N150963647
IT STA,R40968
US WZQ,N158306763
NO SOG,R10150612
BR CHE,R185548
FR GXE,R147375
FR CYR,R3187073
IN MNS,N6697002310
AU BLV,R5501504
BE MDK,R3373565
ES AQC,R344300
FR ICE,R154389
FR DRA,R125329
US EFK,R199080
DE HOG,R1028558
GB WC8,N3939328592
CO QPI,R1473610
CH HOC,R1682868
NO KSB,R412349
BR QLU,R298199
US XEW,W33614460
US PMP,R14988942
PL MED,R1746477
CA PCA,R7722335
BR PLA,R297509
US ATD,R121260
NL DKP,W6318317
BE AZM,R960944
DE NET,R1028812
DE NDN,R453369
CN WNA,R3028621
FR NNU,R140520
US QTR,R112653
IT CLA,R43523
ES BRC,R344443
AT GLD,R104347
FR HPX,R152388
ST ANG,R15060812
NL ZBN,R2656650
HU ALG,R1025064
PG LMI,N8577277440
US CK7,R137503
DE A35,N667532064
AU TWN,R11676221
US FTZ,R7154998
CA SB5,R8114649
BE WOR,R3364202
NO VAY,R406862
DK VIG,N21686349
US MIJ,R961377
IT 2C8,R45338
NL BUU,R2641705
BR JBB,R242549
IT TGG,R45619
DE 8AF,R1438081
CN KOL,N244081037
FI PTA,N4442087584
TZ KAG,R6506055
AU JGA,R6063642
IN JAO,N245732685
US OJL,N150968604
DK ROF,N26559023
FR VA4,R150410
DE SUW,R1418485
US EDC,R130820
FR HRS,R6881130
FR MQ7,R3221594
DE DRA,R1437953
CA SCO,N1148702554
HU ATO,R1130332
MS BRD,N358222806
ES EEV,N1243327198
US HJK,R175952
BR CWV,R302732
BE TLS,R12888310
CL PTI,N214201998
US RDG,R188481
CA SMN,N1741843384
JP LIY,R4759953
US CES,N153745789
BR SUS,R242471
SE GRD,N3845368597
US VYI,R127512
FR OYO,R21541
PL BJW,R2690047
NO SLU,R11264598
LK LWA,N5214861182
ES JER,R347653
FR CY2,R1456772
US WC6,R182252
PL SLP,R1553160
SI STJ,W119239942
JP YMG,R4018443
US XZI,W33171845
US E3C,N150934351
IT TTZ,R40046
IT FSZ,R45839
FR WZV,R152619
IT PVM,R44750
HU RDE,R1390626
FR VBB,R2013699
RU YAN,R1547811
AU BLN,R2556986
DE SNT,R2778407
FR MSY,R29251
ES CHN,R340943
ES ARR,R344968
US KFP,W32974745
US SK9,R141602
US TII,R127651
FR V6V,R153569
PE HAN,R1954506
ES TMR,R345942
PL GIC,R2920903
FR UD2,R2239857
US H3W,R170597
NZ AKL,N292806332
FR PYB,R124392
IE BVD,R6194829
CO IGO,N310198588
US T2X,R185077
NL LGD,R1475385
AR JUN,R10016526
GB CBB,R5473590
CM GRB,R3818685
FR TL3,R1389569
TZ BHO,N259704375
HR IST,R12597243
GB TEF,N5134098275
US 9FA,R238637
FR VOS,R184029
FR MS2,R281719
BO SRD,N795655638
BE WHR,N240096716
HU EBS,R1405226
GB TYH,R2422721
US JER,R121423
FR ROH,R124989
IT VCE,R44741
CN LJY,N6440225164
ES POS,R342834
FR OAZ,R2997431
NL KWA,R2716697
NI SFL,R5735620
NL LES,R2528298
US TLO,R119666
DE ITT,R1817806
BR SPK,R332948
US XAB,R3490787
US POS,R142552
IT BRG,R45909
PL BEW,R2919483
US PD6,R111201
BR ATU,R362498
FR BTE,R2226932
MX LOL,N459393682
RO ERN,R11318848
DE GSF,R1016394
PL RBN,R5120774
FR T8D,R146522
IT IRO,R46041
GB SDO,R2273452
CN PJS,R3218566
FR FOE,R279982
DE S4V,R959906
ES EAC,R341760
ID KLQ,R10003113
ES ZMY,R340916
BA ORA,R11645229
BR APT,R303730
LU DMM,R535479
AT UDE,R80207
HU KIS,R1130390
US F9V,R175915
ES BNA,R345268
NL GBA,R303056
US XA2,N151907764
US S4O,R137342
IT ZUF,R45109
DE ASD,R423032
US W4M,R128918
FR S84,R396531
BE PIN,R1225361
AT TMA,W118104933
AU S2R,R2423690
GB MTZ,N385148479
EG IKU,N1039327711
DE BHH,R1566686
LB JIE,R9093670
GB LEV,N46971338
US ANS,R183352
FR HHT,R53835
CZ ZBL,R437332
US ZOT,R140043
BR JCA,R362547
AU PPI,R6375992
GB DUB,N432423784
BR LGN,R593770
DE SUL,R62450
ES PDP,R345053
DE M2T,R1152692
FR UCL,R140828
IT FOV,R40989
RO MG5,R14778634
IT ZUI,R42561
GB BSP,N503706890
IT CS4,R44998
IT RPC,R44762
US RDE,R109872
US B77,R2333891
FR R6V,R124155
LR SAZ,N3105236972
US PCH,W177934647
CZ MOZ,R437540
NL SHO,R300657
US IMU,R1839168
PL LBK,R2871827
ES VRI,R341895
US MBG,R195157
IT ZKO,R44615
FR NVM,R140475
GB LSN,R1111817
GB UIG,N1290100250
PL JAC,N31709243
BR AVR,R242711
US SLF,R127797
FR ZFD,R104518
IN DAI,N3411073296
FR EGY,R139342
DE SUX,R382407
FR S4C,R133914
ES AME,R342526
IT BMF,R43339
SK VIE,R2206753
US STR,R125887
DE EKN,R1252494
FR LIV,R1019734
DE WOL,R1432365
CN LFZ,R2989329
IT FDC,R42389
EC SNJ,R3818015
HU DKI,R1492740
IT VT9,N863738650
CA VLF,R7765243
FR A3S,R149486
DE BAR,R453723
JP AJX,N8305978888
GB BAP,N27007624
DE EFU,N1908030669
BR MAD,R314753
CN XSN,R3199281
NO FLT,R407245
DE BOR,R162723
FR OLR,R3298786
FR CMB,R55938
FR 2BS,R106308
GB SWB,N172932858
AU ZLD,R5700628
FR DEX,R1166810
CH SLZ,R1683576
BR SLY,R302479
ZW FLU,N4011613743
CA AUL,R9589149
GH KPA,N2275865781
DE WYH,N1756317990
PA LCO,R8453982
IT SSA,R41738
PT ARD,N1644079859
IN PLJ,N3283404930
SA MAK,R12429517
PL SZL,R2857350
FR YVG,R152597
BR SBH,R242751
US 4CO,R194972
GB AW3,R2905629
NO STN,R410883
FR TJM,R1125901
DE HUL,R6047235
JP YTH,N10877075605
SE SKN,N7468635058
US BIA,R176203
FR TLS,R35738
BG STO,N273815752
BR CIZ,R362358
CA MEO,R7480374
CH WBG,R5754731
TR CIN,R1812967
GB YET,N4511037892
AU OBR,R2519661
FR QRT,R253349
US WXL,R185119
AU HIS,W957407291
US PMU,N150920913
US GG3,N153340917
US B5Y,R13795122
GB ARK,R1271973
PT CHV,R4022982
NZ WLV,N9052463477
IT MNH,N4219622397
IT ZTX,R42587
PG LNM,N2089388587
US VLI,N150933785
BR MTS,R336828
CN SAA,N2464889539
ES VCB,R344413
GB BVT,R3505208
AU CCS,R7378338
GB BLA,N29674548
BR JSX,R302859
DE JAG,R915561
DO LVC,R13885727
RU AMU,R3579702
DE WUG,R146471
DE LZG,R5623594
US LSP,R137623
BR AZU,R314642
US AUP,N158257260
ES V8S,N308231136
TR SFQ,N26487743
PL ZNI,R2616344
MG VAT,R8064543
SV ZAR,N443028540
FR OA8,R187041
US IZR,R5651430
DE SCY,R418541
BR AUV,R301201
FR TML,R2652652
DE APF,R941001
CA TES,N1555267542
FR BN9,R74535
DK KSY,N9948802708
GB CIH,N1659145889
PL EWC,R3493129
US YRI,N153650072
NL LZA,R1576192
US PV6,N158838231
CH SOZ,R1683346
RU AVD,R3480819
ES QUB,R348023
IT RIP,R6578220
VN RDG,N369502322
DE GSR,R162733
CZ LIT,R442328
CA RBC,R2221097
US PRV,R110453
FR NCY,R6791758
US MIA,R1216769
US LJN,R115382
MX SDU,N6444161084
GB BTF,R2953346
BR JKE,R315190
US TNP,R13875015
GR FOL,R5321388
FR RA2,R1955133
US WTQ,R170554
US HE4,R8484880
FR PFD,R1230149
NL WET,R324389
DE WLO,R151327
ES CZL,R345293
FR RDN,R961138
FR ZJM,R1427770
DE UOH,N1116152797
BO VL2,N4300038794
NO VNA,R405980
BR KGM,R315221
CA TOR,R2989349
NO TI9,N3368367713
BE HCT,N747888134
BE BUN,N427091564
AR MCS,R3156447
DE MS9,R1263901
FR RCN,R108661
SK RIC,R2141903
PL OMW,R9238879
BR TFS,R302465
DE DUI,R62456
BE EPG,R3479498
US NVQ,R124813
FR RCM,R145072
HN PTL,N322069878
IT GRE,R46241
US ZE9,R179921
BR ALF,R315442
PT PRD,R5928425
DK KRP,N2278152098
FR LRU,R111329
DE 8BK,R403748
DE DSQ,R1416732
US KXD,R181445
US SOH,R135147
BR TQB,R298235
CZ UCV,R438432
DE MNS,R153498
CA ADH,N3513617177
DE 7BQ,R548612
TM JEB,W406443351
SR ZDJ,N4462598779
NO GRF,N3374843296
DE A78,R349932
ES MZN,R347791
US W8D,R195180
PL KOK,R1555430
US MB8,W33612590
DE FIB,R1187676
US MSQ,R6578217
GH WA2,N330058453
MK STM,R6875365
IT SVL,R1653089
IT COX,R45872
US OYN,R128863
CH MIR,R1685515
FR EYS,R105280
FR RB3,R2148023
US HBQ,R128827
SK PUU,R2205550
CZ KYJ,R442517
HU MCS,R1027827
BR NZO,R334402
SE BMH,N321878135
GB AKL,N1458037688
SE BSR,N381224141
GB ATS,R14546898
US XCF,R237966
US SMF,R179030
DE PSU,R1273277
IT SIC,N61753467
IT GD8,R42126
US LK5,R128912
AR ALE,R9395646
US 3MD,R184268
AU PVE,R11689154
DK OKB,N613222591
US ASO,R182605
DE KAK,R943710
AU WAD,R6076748
SE BYX,N2100565047
PT FAJ,R5989547
PL JAT,R3175145
US SIO,R131953
FR JCT,R1360561
PT CNS,R5991741
NO MAY,N31264119
CA N8Q,R7953237
ES CTS,N266834600
NZ NTC,N98141663
FR M8A,R135971
GB NVL,R3344971
IT UIO,R40015
US TCW,R197302
DE MLR,N271928565
ES ZGH,R346457
ME DNL,W173013157
IT TGO,R45219
CN CZZ,R3443418
AU MBU,R11690148
LV BNH,R1808852
FR MVH,R2522172
PA JQE,R11300224
US VTD,N251897515
ES VJY,R341241
BE NSG,R3479668
BR MXA,R242403
FR WOR,R68420
ZA AAM,W807736886
FR VIX,R75500
JP KAO,N8570458187
BR SJG,R185555
DE AQE,R400938
PL DAB,R2251893
FR FAV,R103494
IR BAJ,N835139257
AI VAL,N1975586073
IT RFO,R44060
