BR NTU,R2702846
FR GJJ,R906487
GB XDK,N26880090
FR NO5,R2690451
AU BGG,R11675465
HU AKT,R1418116
BR SSS,R303867
FR H69,R309360
PL OLW,N31880013
US TL4,N150959035
NL BAN,R275964
GB GRT,N20981539
US WN2,N153496821
PT AMT,R5268485
DE OHJ,R939363
IT ORS,R46060
BR SPY,R302795
ES AT2,R341757
US EVA,N151911237
FJ BFJ,N262910069
US OZS,R124727
US YLO,R12006533
DE LSS,R162713
AT HKR,R177076
BR KDA,R301260
KR NPO,W890751768
US FSI,R15510342
US RPV,R119744
ES NIE,R343177
US C7R,R181892
US TCE,R183984
PH BOP,R4468857
US LVU,R7319374
PL LWK,R2963008
IT PVC,N61753395
FR HYT,R269978
CA ROS,R7703992
AU SSF,R2423773
BE EEK,R544529
US HR9,W323568414
US LCC,R129843
PG DPU,N9690009500
US ITS,R125476
TR GAZ,R1766105
CZ SNH,R438526
FR CFI,R63047
IT OEN,R43807
US GT6,R128793
IL ACR,R1387962
TR DPS,N2305054397
US OBN,N151684452
SK BTS,R1702499
LT KDO,R3479249
NO SUR,R406836
IL YIF,W579016864
RU KHS,W128005659
US PRM,R170623
BR MMS,R368775
IT NBN,N69301182
DE GYN,R2856444
ES HHR,R340576
CZ DIB,R442232
IT BWA,R43191
RO BOS,R6661741
BE VLD,R2239536
US ME4,R137825
ES TDL,R343772
ES VVP,R347752
US EPI,N150938293
IT CXI,R45183
NO SSO,N476691397
AR CPC,R10783671
ES ZIQ,N1480358235
US DHZ,N158596682
CA PPV,R7572131
IN MER,N10937060283
SE HNO,N2235001640
FR AUU,R419698
IN GAN,N6748298222
DE RBO,R1311137
CA MTL,N390665458
GB DRM,N278467986
BE CCS,R2153672
FR GNH,R166098
AT OBE,R238955
GB NWK,W350431004
BE KTT,R1284337
FR OS2,R659733
BR MTC,R242534
KR DDC,R2409163
PL PRA,R2603037
US WS7,R137296
CH STF,R1684560
DE 62R,R548551
BE LGY,N734841263
FR B2T,R2588745
TH YAL,N372812084
BE VIY,R12911654
YE UKR,N1225615702
PE MRL,R1971702
FR TRU,R74604
DE TWD,R1946738
RU KBR,R5555171
US LF3,N158853419
US 9MH,R1839564
IT MNE,R45553
US MMS,R7161811
IT CCV,R42034
GB UPM,N3282529867
US FV4,N158581839
CA SRH,R8382067
BR RNM,R296546
IT BZI,R46396
FR MRF,R1400251
BR JRE,R362470
FR UTO,R272181
TR LAP,R1815245
NL UDE,R1435126
US YTX,R206931
RO HA3,N460202968
US QAW,R184178
US HF3,R13706421
BR QXA,R362469
FR NVA,R1540519
BR JDR,R301083
FR BSC,R113994
PA CHO,N2060446314
AU CRF,R9102587
DE RVH,R393345
US RAU,R1217300
FR V89,R2078002
IR KSH,R8177112
IT MOD,R43336
NL HSS,R2728547
US SZZ,N153396368
BR LIN,R298486
IT RVD,R44975
NL BOL,R444446
CH OGI,R1683146
DE WA6,R4689274
BE OBI,N669733221
US YFR,R6587488
IT 3CA,R39850
BR BGB,R303652
BR PMU,R301426
CO SBV,N703169340
GB BIN,N29343629
DE GAG,R907232
US QOX,R195185
US YOQ,R2021457
PL RMO,R3014349
US QIS,N150973394
FR ZNE,R104928
US VBK,N153863310
CZ SOM,R437600
HR JSI,R8820570
PA GLP,N5921144169
US KS6,R170678
BA TLC,R2528274
AT SEB,R108848
EC LTR,R3684276
BR FPU,R302744
HU LAB,R1027780
RU KIY,R8206959
IT TNR,R47091
CA WHF,N7293482075
US EOD,R184313
US L9G,R119684
SE BRX,N143790406
FR YAU,R153752
US HJX,R6605103
IE FBE,R4281447
US NQB,N158817144
AR PDC,N198408755
DE TRZ,R2405016
US CTT,R175707
TR GKV,N1343083960
NL LAK,R334751
PE HCB,R1986184
CN LOZ,R2773868
AU MRH,R2447744
DE VDM,R1248408
IT HEN,R46042
FI KKP,N286964370
FR TR3,R123521
FR B6Z,R129345
GB HUH,R957021
US LCI,R170185
MA KSS,R2752877
FR 2MU,R195298
GB CDB,R6656788
US YMX,R8906731
GB RNC,N29020282
TR KN2,R1269255
HU VST,R1417306
BR NOD,R298077
GE ZAG,W25688527
GB ULN,N330108726
FR MWC,R374355
FR RZY,R73972
CN MCX,R3245948
MM MES,R5996712
DE CNF,R55772
US BDX,R142488
FR 86P,R79432
BE TUG,N270671690
PA PAI,R8840030
FR L7X,R75569
KR USN,W552021517
DE BXN,N264012731
DE 65J,R288914
MX AEA,N2034202247
US UVM,R134874
US QIA,R128820
BG SKP,R13477034
IT TVV,N1222137535
US ILD,R134897
FR Q2R,R1552665
US PH8,R1844188
US VRG,R125807
BE ADI,N662460072
ES PR3,R345290
DE NNJ,R448769
AT UNG,N240047849
ES BON,R341397
US NCS,N158403645
DE ZAD,R55780
BZ PLJ,R11520908
IN JHB,N2173892226
GB WW9,N574278776
CA CCA,R8227654
FR OE9,R223976
GB DOG,R1609011
AT KLA,R75238
DE LWF,R2787453
FR JQR,R269934
GR NEY,N299149783
GB DEX,R2599160
GB GRA,R1629607
NO TRO,N996426939
CH OBP,R1682585
ES ZHM,R345592
ES BN3,R343700
FR COL,R78850
FR VUL,R1998724
SI MUS,R1676363
AR HER,R9432769
IT RSN,N67274165
CA ENN,R4008054
US WUB,R127526
DE PRW,R374252
PE JUL,R1913507
GB NAL,R7902051
FR QQF,R2887546
IT OCO,R44070
ZA RAW,N262721997
DK THY,W620151968
AU BUC,R11677411
MX VIH,N3666442583
DE EN9,R1255938
GB CIC,N27561243
FR S8M,R191448
FR YYV,R957738
US LNJ,R140949
BR VRI,R333617
AU EML,R5998438
FR LTG,R1903562
US 6SA,R189202
DE 9AU,R1405506
GB CMB,R5845209
US NTI,R123448
DE KIO,R929919
US QES,R125959
US UXV,R170344
SE DEG,N33224192
US ZMM,N158823368
US S6S,R128963
DE 65O,R310409
GB RIH,N27457914
CH CRE,N2431440021
BR JAL,R315296
ES CGE,R344130
BR MCU,R301206
US XMJ,R182900
DE TJE,R288963
BR ETA,R242395
FR NMU,R1209837
DE GRB,R55769
JP IMU,R4807808
US FTP,R9228294
FR LL4,R2981212
PE JAU,R1948314
US KOS,R137001
DE B9K,N250974706
MZ MMW,R11981794
FR 5GR,R1066589
US CY4,R251514
US WN5,R2385414
SE STS,N264619329
US SQW,R193929
BR CSI,R315234
FR BAK,R149289
US YRL,N158470979
CZ FLZ,R439479
ES FUD,R344987
US EHA,R6611281
US KBZ,N151656663
AU ASH,R9102592
US C9S,R128652
US YAV,W33078354
MY PUT,N2872238032
FR BC3,R2007844
FR DSO,R3207367
US FTH,R127740
US R3D,R8540209
IT CST,R41056
US WN3,R127606
BE CRB,R3475590
US YEY,N158822510
CA BWD,R2856959
DE BYO,R943532
GB ABO,R2870159
CH BEV,R1682402
ZA ZBE,N262705055
CH CAS,N822970073
US TL8,R175666
AU DOK,R2397613
NL DKR,R1460726
ES ALT,N1682417082
FR DDX,R165350
BR MUP,R333706
JP HKJ,N6315993808
CH BWL,R1682370
FR SIK,R1734306
BR KUA,R297924
IT MVC,N64779073
NO VSH,R406037
FR S4P,R1928213
FR M6E,R1785633
FR QKK,R532479
TR KSH,R1830538
GR ZAQ,R5305695
FR CT2,N425307968
AR PMA,R2955054
DE HZZ,N114508453
US MOS,N150919188
NO OSN,R405317
JP INA,N8340492346
FR RXS,R2152231
LA KTH,N1312803384
US TEI,R182515
LT VEN,R2034782
IT NGC,N343453280
US AHQ,N153634243
GB OTA,R957330
FR FVX,R3224259
US FS4,R206689
CO IPI,R1311674
DE FHB,R319592
FR UOK,R173575
DE PEE,N937086289
ES RL9,R343134
FR NYA,R3185340
US AKV,R126648
FR IRY,R170044
FR DVA,R151013
BE BCN,N746918277
FR SUZ,R70893
DE 26S,R976380
DE 5AW,N373390875
ES MTD,R344538
BR NPO,R2220788
TR ASF,W889509697
NO RMB,N1384274312
DE AHV,R959803
US JTJ,N4777782357
FR GTI,R80328
US MU3,R239898
SK VSK,R2321593
FR ZAB,R93950
US CIY,R182800
DE HFI,N344919835
BR CMD,R314858
FR 2SF,R387067
CA CHL,N52553094
FR EMS,R1190093
