DE HFR,R1797853
US GMI,N158588855
FR ECN,R156561
PL KTZ,R2861971
US AMR,R187765
US NYH,R176156
IT PEH,R39299
AU GBL,N4382297080
JP YTI,N8481644298
GB AAB,R7064580
IT ONI,R40003
FR BXM,R2895865
PA PLM,N8825310189
IT RGB,R179146
NZ PMR,R3440209
FR C2V,R955204
FR HGP,R158875
CH DOC,N302863509
US JHO,R133390
US EHH,N153987611
FR R9B,R531460
BR ECT,R301139
VE BRM,N1622415710
CN NDS,N8260037673
DE OS9,R14293372
US AMC,R179971
PL GOO,R9232121
CH MON,R1685341
ES RT4,R342945
FR URA,R135763
BE SUZ,R2255291
BR PSU,R2215554
US QSW,N158854853
US AEN,N158843696
US A6M,N158897166
IT C76,R39905
FR TMG,R941056
VE SDP,N1861608609
DE TEG,R935954
CZ HKR,R439071
CH ATN,R1684497
IT GR6,R46224
IT FVR,R39222
PT VDV,N283947004
DE EUD,R1257087
US WES,R15848587
FR M5M,R104428
CZ NSY,R440030
IT FU9,R41041
CH MAM,R1684541
FR AHS,R104895
DE DEU,R1021835
CH BRM,R1682818
CZ 5MJ,R433052
FI MRL,N964767114
FR MVM,R70881
AU NWT,R2402462
US SX7,R170367
US AFB,R188701
BR PRB,R296637
FR UPP,R87612
US NZQ,N158603775
FR BHZ,R79376
ES FRT,R342349
FR C6L,R136379
US LN9,R249908
NL HGS,R309487
US G4R,R175739
GB SRY,R3601567
PH SSI,R13254576
US DPY,N158821164
AU ODR,R11690298
DE ZNI,R1236166
DE MNT,R391369
FR PKQ,R1188534
US SKQ,N158812519
GB WSE,R5622219
FR 5DF,R127047
FR CGU,R303283
CL FFU,R3067460
GB EAE,R3956639
KR JGE,R7831149
US DLT,R117940
IT JQU,R43990
US 8PP,R12172667
BR EGR,R242375
EC LLD,N6216168029
US DIC,R117520
AU RTG,R2587689
AU RH8,R2448959
AR SAP,R2539283
BR DAE,R302652
BR CDC,R185626
MX CTN,N3470563337
DE MAA,R215970
FR NFL,R55453
US GRZ,R119764
US SHL,R187620
CN QTU,N4370895582
US JGM,R141431
US UEO,R12189650
AT WAL,R86540
FR RZB,R1079416
US AXX,R171273
ZA TCU,N1375502866
US YDD,R251906
NO RSG,N5422624768
PA SFW,R11316660
FR LAT,R2057638
US MYG,N153691308
JP HSW,N8456214284
ES FGS,R342071
US OSA,R111183
LK VAV,N634182147
ES MLL,R2174951
DE DIE,R416276
SI HAJ,N1216078570
AT PLE,R129532
DE RDK,R163737
NZ TRI,N267844074
HU PSA,R1405225
IT CBG,R45938
CO ULS,N703196310
NL NAM,R1423428
GB WKG,R109202
GB BGH,R8226073
AU B5P,R2463075
PA RHD,N9950115583
US 8ES,R12203862
DE NLM,R453414
FR PP7,R124632
FR SXY,R139568
US URP,N150956744
US KS2,R137182
FR VN8,R144977
FI HAP,R15798813
DK GED,N10729666901
DE ZDL,R444950
CZ FOL,R424825
TM ALT,W261862786
BR LDT,R1831581
CZ KSY,R439884
US 9JB,N151567374
LT NMS,N447032005
AU WHL,R2692942
ZA PAA,N30670037
ES VCR,N1903764576
JP MNA,R2689437
ME TIV,R12492506
NL VRD,R1516705
IT SMP,N9127314203
NO MAU,N297302151
DE PGD,R1419895
TT GUA,N3090743327
FR DXT,R2951219
FR RC3,R109398
