US NOZ,R12203915
JP ZKA,R4008439
US DQY,R182671
FR BVT,R118180
BE ZOB,R901848
DE SNX,R215974
DE B9I,R448710
CA HBD,N1208120740
IE CLR,R5440761
IT ACP,N4019502294
PT ARE,N1933416149
GB THM,N21278143
PT SCZ,R8427677
US CHN,R4033666
DE PHS,R179654
US RTN,R183135
US IHE,R133566
RU SBT,R3443011
IT SIZ,R43561
DE BBN,R452387
BY ZZA,R79911
AU BUL,R6076566
JP NKN,N8332667891
US HB8,R6836380
FR OOL,R74987
AR TPL,R1750946
IT ZSC,R47161
US TZS,R6587499
GB SDA,R4045731
