IT ZLK,R39565
CA CBD,N1395531353
AT ETH,N1066629710
GB ARU,R2960986
FR GPC,R2347992
FR SZM,R911056
BR KNH,R325891
FR PSE,R386005
US MNC,R134628
US BMJ,N153447023
GB QMV,R2908175
JO ARM,W379035377
CA HWS,R11289000
FR ZCJ,R9165873
SA TUU,N5418190413
KR KWU,R2409170
DE VSN,R1016401
IT RO7,N1919210128
GB YBF,R3590741
FR IT2,R81743
GR T9H,R13683042
MK BLC,R6502648
MN HJT,R7297911
BR INC,R302582
US RNU,R239924
DE NEG,R270514
GB DWN,R7585075
ZA KXE,N59965613
FR Z6Z,R1239493
JP BKW,R3562367
AU DIC,R6827851
CZ BLA,R441793
US WPX,R125691
ES VDY,R344724
CA QEB,R7997254
FR LLC,R1918448
DE GMH,R1819454
BF OUG,N1920732032
IN BYD,N245680117
DE MN3,R960529
ME ZBK,W173013401
US RC6,R182042
DE RND,R533261
AT SNG,R51329
ID 5SU,N2400196532
CH WZA,R1683588
NL BUN,R163548
FR RBF,R3247678
US ESI,R2030464
RU TIK,R1116705
MA AZE,R2806100
AU ABN,R6584913
NO NVS,N6219460066
CA SP5,N1403353467
NL ARK,R165008
NL BLS,R272198
AU YMB,R3169695
IT CGP,N64778738
ES NCP,R12578293
US MER,R175635
AR LLS,R3498864
CR TJR,N8570040570
ES VCN,R344522
FI PUU,R2301965
DE OSF,R2793022
FR LB8,R149391
BR FEJ,R326258
US SEH,R134529
DE RPZ,R535125
CA ODE,N687658969
SK TAJ,R2210152
FR ELG,R152310
US PNA,N150952448
FR VM8,R2026303
CH RNB,R1682616
FR PRF,R76258
UZ ALT,W26994892
FR TL4,R74265
FR TDV,R2965130
CH RMK,N240052934
PL DCK,R1278320
SN XLS,R12989616
FR PRA,R3100778
FR SCK,R2351922
US QKM,R121197
MM BMO,R5996495
SI PRV,N3828438766
US FHM,R1863552
GB TAD,N1599300141
BR RNO,R297643
DE RHC,R148082
US STH,R186785
GB TRM,R1022703
FR DB7,R128229
SK LYD,R2275458
US FQG,R239932
FR MDB,R1733622
AU CST,R2424079
GB LOA,N31193764
FR FLQ,R971007
DE 2TR,N725370384
ES TUI,R341383
ES AAH,R347690
