FR DOI,R56243
FR ANA,R105802
FR PVG,R140351
CH BCK,R1683866
US LXJ,N157554969
AR VDY,R2922116
IE DDK,R9357103
US YRT,R127386
ES CRA,R346904
US IXX,R169347
BR CFU,R362315
DE RTE,R423193
PT MRR,R5923251
US HW8,N158435364
BR RUM,R315332
CA CRE,N308436653
US BHI,R251752
GB BXM,N267762515
DE ARD,R1944342
US XIX,N158386503
GB PSG,R6171926
CL LTA,R1654885
BE BLE,R1263915
CA NPA,R7435646
DE EGI,R417026
DE IGG,R915434
PL BZR,R6849950
IT ZZP,R43907
US MVM,W33041709
CA GUY,N3659052478
PL MZW,R2832470
US URH,N153478485
BR CLT,R298143
CN HCH,N5729719789
SK TOR,R2274980
US KQI,R238022
US M4L,R239930
US CRJ,N158801096
IT ICZ,R46374
BR GRI,R298258
BE MVI,N462715109
BR BCN,R314887
ZA IXO,N262707239
US LZI,R183306
IT ZGF,R41044
US ROF,R195750
FR YGG,R152017
US MP4,R136710
DO BCC,N3692720782
AU GVP,R11676967
US TH4,N153913530
US TWJ,N158807393
US ZFE,R8309574
FR UME,R2713205
US F7N,N153409352
CH WHD,R1683968
ES EIO,W176067572
DE EL2,R1259307
GB THH,R2431165
BR KDO,R301125
BR JOT,R302666
US GOA,R129804
US NES,R175540
AU WIO,R5731022
FR GT3,R107408
US WND,R5970133
DE GVY,R1481616
ES CYS,R343660
PH MBL,R403176
BR ITJ,R296666
FR BD8,R9165119
FR TKU,R2772997
US OGL,R183450
ES MZ8,R345152
HU SZL,R1273068
FR MSF,R953320
US BMB,R176013
CN SZW,W534150961
FR LMP,R118472
IT UCC,R40967
SK SLV,R2205549
US AF5,R128396
TR SEY,R1250967
NL LGO,R1428405
IT MEE,R45164
SI MLN,N904612936
DE IEA,R2856999
IT PEG,R42278
ES MBT,R348217
US UXO,R174885
US HLF,R118853
US DKD,R127854
IL MXF,N278475615
AU MSH,R6473619
FR SUO,R904717
PL LBS,R16128295
SE FAG,R935411
US XII,R1842140
DE CAR,N5294246271
BE HOA,R3406578
PL TLK,R3856212
BR TUM,R332789
ES ZOR,R1901726
DE SBY,R365117
DE PKA,R3412601
US NTZ,N153886323
FR QMS,R2703209
US WF6,R182586
FR IZO,R89054
CN PTS,N2499247541
CH GGN,R1683074
US CPT,R5701313
IN SIB,N245755348
GB CGM,R4294404
US UT3,R110760
PT CSM,N1603902310
US BJK,N151514624
BR NNA,R315194
LU FLW,R532140
US SIE,N154322057
HU MNY,R1380009
IT SVV,R40814
ID SKN,N6448184045
NL MED,R2714788
US UCS,R194172
FR RBB,R2700296
BE MRM,R2237453
CA RXP,R7927020
US UID,R128521
VN HIA,R7062047
FR ACM,R1247972
US NEZ,R3177666
GB DVP,N1629915645
IE DGS,R5463255
AT NRR,N60368329
NO BEJ,R409039
BR JAT,R303664
ES YZA,R341084
JP EGS,N8683539019
IE CAR,R6974469
FR 8CL,R970825
GB K2N,N29594454
DO PIA,N3070059602
CZ CS4,R440197
GB TCK,R6650803
DE ERS,R1249958
CA SED,N2648834718
IT PPW,R46761
US CGE,R133162
FR TI9,R1792587
ES MZB,N587661874
GB PYB,N1218302702
FR EG9,R126515
CH WES,R1683963
NI RFS,R14969611
BR MNR,R303740
BE SKI,R3369417
FR GQL,R1630454
CH BEA,R1682372
HU HBD,R1453531
IT VID,R42805
DE GCK,R535008
BE DSL,R961113
CA TWS,R11687900
GB LKD,R5843808
GB DDE,R947950
LV BRT,R1815760
PT SRD,R5399552
IT SCO,N2528595173
GB SKL,N76688504
TR KRB,N565343571
PL LPO,N3009675143
RU SNN,W77775465
BE SOB,N240025316
FI TVM,N4705971263
ES ROR,R345436
US H2V,R182922
ES PLI,N155368035
IT SFA,R42694
BR IGA,R303682
US SQY,R197410
DE BNZ,R1168915
SE SUE,R935627
FR SJM,R254502
CN ZAT,R2402650
CA YQE,R2241027
JP UCH,N8717771644
US LL8,R141712
CZ HRD,R442368
US LMR,R1844174
FR 8UX,R149225
DE ASM,R1382037
US FSW,N158596060
IT TSE,R40141
IT RVR,R10463066
CA OUU,R4136818
US T9C,R179772
FR Y99,R2946488
FR L2R,R120697
IT GZP,R45276
FR 6CN,R111342
US LZD,R140010
EE PAE,R350436
US 5ON,R181517
CH NWG,R1682173
LB NAQ,R11150857
CA CLR,R6007265
ES BPM,R347645
PL PNW,R2910211
GB AGR,R1610116
FR JQY,R2435373
US QRQ,R182744
DE WKK,R402689
GB ROS,R3631135
FR GVX,R172578
GR PAT,N286653914
CH TRE,R1683412
DE BCH,R1016514
DE 55F,R1469083
CA LRY,R7785157
NL BEM,R2728426
BR JCX,R301369
KE MBA,R12011969
LV PKL,R1898604
MX COT,N3622591995
FR BSJ,R953891
SE KVN,N406446119
DE SRN,R168000
FR DGN,R85909
US TFA,N158863839
US 2CO,R124868
FR UIY,R1359797
FR A4U,R1841565
JO AQJ,W193469321
US MH2,R2373036
TR TGL,R1822902
IN JPR,N245738012
CA BLD,N479696112
IT CIN,R43849
GB SHT,R8651392
MD SOR,W243320566
DE LWK,R8516708
SI SM8,N296096416
DE SFL,R551157
IT KAT,N1205135383
ES VT9,R347014
DE SSQ,R1322953
US XDN,R123129
ES VQB,R346162
US QNF,R181949
US ZNT,R180237
ES 6CS,R347805
DE DQH,R1113733
SK SZB,R2217926
GB KLG,R4820210
US OH7,N158614055
PL RYT,R2892416
FR MN2,R1248030
TH TSG,N2099205623
NZ KIN,N4550627578
ES ODV,R343980
CA MA2,R9244501
US WER,R135153
DE NUR,R2186929
US MNH,R2552485
ES AT5,R12684585
FR WSE,R80445
US SVX,R10993261
US SYZ,R127610
NO SJA,R10143357
IT SVB,R45599
FR SGY,R252602
TR CIV,R1606210
FR CIO,R1359295
US ICO,N158805898
CN XUG,N1797894985
US LVR,R13799316
GB WT9,R1264061
US GE2,N150968646
PH PAN,R11768007
US Z2T,N151537700
FR QPM,R1539943
AU BRW,R11674835
MU BVN,R13476465
DE SRU,R450069
AU ALO,R6002487
IT ZPS,N2898693574
CN PGN,R2776273
US AX3,N153950364
IN VVK,R7888806
US AW2,R169741
US WXG,R237271
TJ PJK,W32554991
US OSN,N150955941
IN PNA,N1432932807
IT SIL,R41272
FR I6R,R153740
IS HAF,R2582273
US ZHY,R175669
FR RPN,R157816
IE STM,R5435268
IR MHD,R5725142
CN LUB,R2759953
CN QLU,R12349620
FR ZAY,R1376286
DE ZGG,R2068985
DE XRT,R2805479
BR CCQ,R362439
US EWE,N154207967
DE CRW,R1269964
AU CAO,R5623224
DE QSB,R449942
DE IER,N287228194
FR OMD,R1165170
NL WGD,R161810
BR TOO,R314600
US KAV,R125808
US JFV,R127622
DE RFH,R1248789
FR RSD,R126288
IT ZHM,R44020
NL MWD,R2451186
FR RMC,R60632
CA BRF,N497578915
FR GV5,R117493
SV SVE,N308199036
FR QSR,R140018
NL QCU,R334192
CN XEX,N8001057636
BR AFE,R1825376
US VWW,N158351534
DE NVL,R58622
IT MR8,R43278
CA OJH,N480760868
VN BMH,R16126130
NL DEL,R2706842
ES ZZV,R344335
LV PVT,R2530667
AT PFA,R111482
NO DOM,N60571516
BE WIH,R1260073
US VDA,N154380195
US DGK,R6603590
DE DKF,R2793020
FR PHE,R54921
US FUL,R2312655
US FIU,R194900
FR HO3,R2829057
US 9YT,R1844190
AT TEU,R3856589
MY PRM,N254074154
US QSF,R175640
FR CCU,R90764
IN MNP,N1109069206
PL WWZ,R2660243
BE FME,R2365413
FR CIV,R135829
US UBC,R126337
IT PIS,R42722
ES CMS,R348866
US OCH,R8481199
IT MRV,R45753
NA LUD,N243660491
US 9MV,N151788041
BE CUT,N73813706
IT COP,R45408
PT GLP,R6545029
DK SOV,N5814978585
NL ELS,R1435455
DK BRP,N9100275601
BR CPO,R297661
US YVC,R198817
AU DDK,R11689521
IN BEP,N3944758059
US NOJ,R198790
CZ SIT,R437618
US HYG,W32973563
DE DSU,R1474193
IT PAO,R45355
US LCQ,R1840168
DE MOL,R1248699
US QTZ,W33004723
