FR CYZ,R140326
DE NZF,N1594957545
US TIV,R7814962
CN CAH,N9785715679
ES HDU,N888968727
SK NOB,R1556714
BR CTY,R297933
BR BTN,R334530
CZ VOO,R437971
CA AGI,R9300068
CA PRW,N409932158
FR RPP,R79430
IT PBE,R44224
IE KIA,R3372395
US DB8,R189033
FR PGF,R18000
AU CBO,R2562055
ES MNB,R346448
CN NGG,R9695284
IT ZPI,N302692796
DE KRR,R2981692
US ZDO,N150938128
AU MOR,R2605572
GB GSP,N26419849
FR VBL,R295505
US 4WR,N158867963
US MDY,R118855
IE CNE,R8448101
HU MIS,R575212
ES CGJ,R340399
GB RUK,R1875292
IT PBR,N890410410
GR JNX,R5321396
US HW9,R183804
FR FNT,R81769
CZ PKC,R439134
US G88,N158323804
AT ERF,R67009
RO MVU,R14653499
BE NIL,R58333
BR SAJ,R362169
US TS4,R124717
IE BLT,R14584042
US SSE,R170540
US JNJ,R170785
FR DLO,R1170904
DE DRI,R957646
US EZ7,R125694
PT RNV,R5714264
FR G6O,R179375
IT 2TA,R43928
BE HKA,R1245632
NL LMU,R1879804
US QPM,R206928
FR RCI,R103967
US OFM,R135056
DE KYL,R1397830
DE EAT,N1083374902
DE NPP,R1302386
IT ITY,R43376
CZ HCK,R425317
AT SET,N8429480872
ES GYA,R346075
DE SED,R1322956
DE INZ,R2787920
GB OPE,R11274307
US F22,W33612914
DE BGV,R2393736
TM AKD,W750566606
ES SJI,R343235
IT VDL,R42975
BR GIA,R297603
SE OST,N7466518849
PL CYB,R5918336
DE UTT,R453015
FR 2FO,R402011
GE TSK,W28357831
US MHE,R194906
US KVT,N158263127
NL OVE,N6497386880
DE GW2,N28802644
RU BSN,W35446325
BR PLQ,R298461
CA SLG,N2295191169
GB WGF,N27008714
BR PBA,R302702
CN JSI,R3161356
FR A8H,R337942
FR 493,R906138
NO NSA,R406119
US HES,R186741
ES A8C,R343526
FR OLA,R120457
FR REN,R1730505
FR SS2,R276071
CA HLC,N9241339512
BR ITP,R14591256
FR S89,R154885
US MXE,R178960
US HYB,R121186
NZ WYM,N864582806
BE LRM,N1579543056
FR U2E,R37306
TH SAP,N304199925
GB GBI,R3298492
PG PNP,N302475401
DE AUO,R548565
FR MCC,R286334
US LPU,R184827
BR FSR,R296503
HU ZCF,R1361451
SK ZAR,R2257538
FR BFZ,R2994755
IN TPP,N1126468156
FR GMV,R1131240
FR 6YM,R1188511
CZ HRV,R442329
HU ABO,R1319915
FR CVQ,R400218
US OCE,R13299347
DK SPO,N9060288242
ID JWA,W1103836797
NA KRB,R8650251
US JJO,R129675
IT ZMG,N391302155
PL CHS,R2642767
NL BEC,R273048
SI P93,N282963978
CH NKL,R1685378
BR RIE,R4753715
IT PSU,R44025
PA LMN,R11378321
US TYA,R119765
NL WOE,R2078304
IT CC4,R46466
SI SP9,N1278880550
CN BDG,R2983956
IT S8S,R43304
AR CST,R10772839
US SJC,R112143
FR OHH,R18478
JP FUD,R358754
FR XSP,R1771635
US AHN,R119353
US 6R3,N150952983
GB HKH,N250733099
BR ICI,R298048
US MVW,R237865
MX NOP,N459392021
CN ZZU,R3263977
RO TTI,R10513822
CN YZA,W1095319465
US SCF,R179822
CN CGM,N3900123502
PL BIC,R6291948
GR MAD,R2083698
PT VDF,R4203798
CH ERB,R1682119
DZ AZR,R4171602
GB NRN,R2578460
IT CTH,R40876
US WRM,R3521478
FR SIH,R158877
US ZOG,N151955623
US JSV,R137846
DE POW,R144696
SK SZQ,R2386330
BR PWE,R297553
US 5MN,R137227
MV ADU,W966340696
ES PLS,R340871
US CCI,R2634696
US LN3,R14023753
US 5RH,R2314272
FR MR3,R121742
US HIU,R8897012
CZ ZBE,R437025
FR LLE,R58404
US IP2,R129194
CN JIJ,R5670548
FR GYZ,N4261355492
FR AAT,R1230115
FR SAN,R1347588
US LTS,R184931
PL CHE,R2602348
IT LJT,R42444
FR COY,R417655
US MKG,R134765
ES JRZ,R342097
US LMU,N158335643
DE GCH,R162711
SE MRL,N112107907
FR SER,R75021
VE SFD,N4415299666
GB XHA,N8490545470
RU PAL,W283792621
ES LS6,R341118
DE PAE,R1248410
DK SKH,N25506982
GN LEL,N2520025047
ES OEJ,N1243225845
BR IBU,R297916
PG GUR,N2558354344
BE KOS,R3931052
FR BCR,R392492
DE SMW,R145304
DE GGF,R2772185
BO CTC,R4500609
FR WIM,R224383
FR VTA,R358152
FR DJH,R1158927
US TGR,R251589
US IGB,N153709141
LB HAL,N4519119272
RS VRA,R2190516
IT SEI,R42685
BE TMA,N670241631
ES SGJ,R339493
BR NMO,R333658
DE MLM,R659749
AT MNO,R109115
IT ELM,R39868
GR KRK,N290679160
CA MCE,R12143274
BR MNG,R314837
DE BDN,R2808299
FR VES,R164210
GB DTI,R2371860
GB CZV,R7034228
GB ZSB,N27034859
AU RYK,R7378256
IT PCH,R41660
BR PBC,R302549
DE ZTZ,R11198300
SK TER,R1861135
US QM9,N151742082
ES AYI,R340529
IL EVS,N278475597
GH BOG,N1839943886
FR LBU,R383415
CH HSN,R1683659
DE MMF,R933535
DE CRE,R1432639
GB KCH,N2358238264
US PO2,R186454
GB SAN,R364333
JP FSS,R5301643
US CFH,R187643
US GEU,R206799
NL MNT,R158937
ES JIA,R340347
RU KIN,R3442996
FR MXK,R163331
GB AER,R2905084
RU BOG,N2696067650
FR JEG,R104132
UY MIN,R2559279
US M37,R140714
FR MPL,R28722
ES PSQ,R343304
DE B2M,R1527084
ES ZBI,R339664
IT TMT,R41796
IE CLI,R3443016
CZ MRC,R437337
DE UHZ,R5992135
IT VLB,R39310
DE WAS,R2186945
ES TAF,R344080
NL GHO,R2695736
GB ZEF,N327265947
IN MNR,N3223415988
US LIC,R9347902
AU IMV,R11689308
RO PIN,R10748543
FR ETE,R111054
IT TDN,R46137
DE PPW,R2366191
RO CNM,R13854992
US GL4,R132060
HU FUO,N2624509910
CA EFS,R3690744
MT FLY,N130879557
GB TAR,R3612309
PL SZM,R2603070
IN OMN,N5316782418
FR APA,R1928223
JP HKY,R4111036
CA NDM,R8217847
HR VZD,R6466257
ES SB9,R346122
CA WLK,R9130559
US FMM,R6274499
JO FUH,N802856920
US 8MB,W754477114
GB ARB,N5305193765
ES CAL,R346218
IN PAT,N509907130
DE 2HU,R1149277
DE WIF,R446464
GB VAL,W57225487
BR LOS,R296523
LV NRT,N257061741
IT ZCI,R40992
CL QLN,R3076728
TO TBU,N1082208696
ES NAR,R346499
FR MXQ,R1102950
ZA STR,N26761378
IT SCZ,R45308
DE WHW,R388756
NL HOU,R334814
GB BET,N8490545470
US JBN,W33132789
FR HOB,R140527
BR LDG,R303751
